|   Position |       A |      B |      C |      D |       E |      F |      G |       H |       I |     J |      K |      L |      M |       N |       O |      P |     Q |      R |      S |       T |      V |      W |     X |      Y |     Z |
|------------+---------+--------+--------+--------+---------+--------+--------+---------+---------+-------+--------+--------+--------+---------+---------+--------+-------+--------+--------+---------+--------+--------+-------+--------+-------|
|          1 | 1634455 | 600167 | 734704 | 473711 |  367456 | 538419 | 280818 |  499185 | 1120871 | 87421 | 122504 | 339049 | 537500 |  363556 |  924391 | 605477 | 29251 | 435659 | 917378 | 2158419 | 101850 | 776427 |  3849 | 233409 |  5904 |
|          2 | 1292515 |  86295 | 135800 |  89789 | 1751601 | 547685 |  49080 | 1915887 |  976496 |  1401 |  15663 | 330542 | 169509 | 1383612 | 2088828 | 150196 | 10282 | 783167 | 508661 |  468557 | 103557 |  51387 | 93547 | 161928 |  1776 |
|          3 |  957764 | 103449 | 401525 | 688566 | 1810750 | 159238 | 221103 |   82466 |  537751 | 20307 |  95182 | 508166 | 396215 |  619663 |  723488 | 276999 | 25427 | 917771 | 744411 |  959117 | 253170 | 143162 | 40658 | 150777 | 11910 |
|          4 |  426529 |  87633 | 274846 | 312889 | 1314724 |  92561 | 152911 |  417167 |  585023 | 10198 | 151683 | 531239 | 249511 |  570041 |  376094 | 225439 | 10149 | 498761 | 503969 |  925567 |  82808 | 129650 |  5451 | 172684 | 10562 |
|          5 |  340149 |  48873 | 203342 | 211056 | 1029680 |  40260 | 161231 |  165497 |  570434 |  1015 |  76370 | 395930 | 105693 |  368562 |  331102 |  80686 |  2306 | 589845 | 438274 |  494954 |  52532 |  27781 |  4586 | 123303 |  8301 |
|          6 |  328638 |  51933 | 182568 | 248063 |  596528 |  47194 | 115067 |  107632 |  440275 |   655 |  11435 | 193561 | 122786 |  468568 |  175251 |  46984 |  5242 | 417053 | 413500 |  398131 |  53738 |  31211 |  7402 | 114140 |  6309 |
|          7 |  257082 |  29521 | 118141 | 137173 |  526662 |  22176 | 141796 |   50755 |  354987 |   541 |  10015 | 180699 |  91528 |  285206 |  159406 |  36770 |  1948 | 188473 | 369909 |  367569 |  22467 |   5410 |  6748 | 102175 | 11097 |
|          8 |  131102 |  15757 |  84478 | 150198 |  365712 |  11150 |  89589 |   34204 |  228711 |   403 |   7675 | 134518 |  36893 |  302504 |  105306 |  21910 |   466 | 141480 | 234171 |  219632 |  22917 |   3542 |  2060 |  85855 | 11784 |
|          9 |  121096 |  10563 |  47664 | 101546 |  225703 |   3853 |  80903 |   17283 |  150158 |   200 |   5411 |  83979 |  22232 |  181720 |  102279 |  16146 |   440 |  61537 | 158592 |  160966 |  11515 |   5242 |   959 |  57812 |  4359 |
|         10 |   50816 |   5168 |  27412 |  60018 |  118078 |   2115 |  44215 |   10737 |   82534 |   210 |   2053 |  60405 |  12578 |  157189 |   71604 |   6083 |   170 |  37375 |  99916 |  120771 |   9902 |    820 |  2067 |  48628 |  3070 |
|         11 |   29673 |   2293 |  18763 |  26702 |   73309 |   1317 |  23870 |    4257 |   58703 |    75 |   1346 |  40358 |   5406 |   79064 |   39014 |   3964 |    62 |  21323 |  68146 |   64550 |   5111 |    819 |   264 |  27854 |  2057 |
|         12 |   20548 |   1298 |   8354 |  16630 |   37402 |    881 |  10809 |    2505 |   29781 |    94 |    814 |  28646 |   3048 |   48526 |   28954 |   4805 |    69 |  11467 |  40589 |   20215 |   2508 |    552 |   220 |  22454 |   758 |
|         13 |    8930 |    685 |   5354 |   8272 |   17897 |    732 |   8511 |    1990 |   16447 |    40 |    513 |  16567 |   2024 |   31777 |   14499 |   1113 |    59 |   7104 |  24090 |   12390 |   2900 |    441 |   126 |  14972 |   347 |
|         14 |    5711 |    508 |   4471 |   5612 |   12152 |    622 |   3377 |    1049 |    8162 |    42 |    297 |   5928 |   1341 |   17173 |    6964 |    843 |    31 |   3615 |  11212 |    6842 |    572 |    246 |    92 |   6456 |   252 |
|         15 |    3680 |    325 |   2424 |   3555 |    7146 |    375 |   2284 |     670 |    4650 |    30 |    190 |   3518 |   1086 |    8572 |    2662 |    519 |    20 |   2311 |   6888 |    4361 |    486 |    107 |    70 |   2451 |   193 |
|         16 |    2180 |    189 |   1537 |   2181 |    4414 |    202 |   1534 |     366 |    3057 |    29 |    112 |   2167 |    803 |    3680 |    1816 |    313 |    18 |   1752 |   3081 |    3110 |    448 |     91 |    48 |   1424 |   145 |
|         17 |    1553 |    128 |   1224 |   1556 |    3085 |    117 |    928 |     277 |    2120 |    28 |     89 |   1238 |    402 |    2266 |    1241 |    325 |    10 |    955 |   1831 |    1845 |    184 |     36 |    53 |    839 |    46 |
|         18 |    1203 |     80 |    777 |   1286 |    1982 |    102 |    767 |     258 |    1045 |    14 |     62 |    687 |    231 |    1474 |    1039 |    252 |     4 |    751 |   1215 |    1462 |    171 |     29 |    47 |    543 |    29 |
|         19 |     861 |     57 |    493 |    635 |    1399 |     55 |    490 |     135 |     796 |    15 |     37 |    610 |    280 |    1262 |     629 |    123 |     4 |    560 |    522 |     949 |     98 |     15 |    43 |    352 |    38 |
|         20 |     634 |     44 |    417 |    510 |     925 |     69 |    480 |     116 |     557 |     8 |     26 |    439 |    133 |     751 |     383 |     90 |     3 |    323 |    411 |     711 |     77 |     19 |    26 |    373 |    19 |
