Position,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
1,24371,18969,32232,19367,14017,13599,10972,14862,13626,2533,3545,10368,19266,13749,13236,35383,2926,18431,43939,21220,22902,5452,9727,433,1245,1184
2,62669,2395,7983,2852,67694,1230,1483,19835,41399,192,1278,19688,6512,40855,62487,8949,1131,37964,6155,9068,35243,5649,3029,3319,10494,539
3,37054,12349,22287,14989,36191,6321,11400,5873,26812,1044,2683,34066,18746,40332,28968,18906,811,43850,27571,31981,16511,5874,4243,2205,6000,1586
4,34698,9123,20926,16845,49723,8500,11508,13365,37261,788,8408,26408,14015,25350,31413,15889,915,35703,22416,34674,15429,5359,3702,1209,5430,2007
5,36322,7818,15635,12906,50860,5447,8509,14904,41608,530,5636,26416,12906,25274,38454,11824,664,35395,23634,28165,13671,3133,3521,1164,7578,1437
6,34841,7345,17142,12313,46938,5928,9610,11724,40152,481,2797,25133,11869,29969,32819,10694,468,32181,25261,28115,11026,3724,3924,1040,7322,1243
7,34280,5040,12956,12099,45292,3719,9467,9570,40518,276,3238,21951,9189,26418,29319,8158,267,28521,27181,27591,11419,2585,2344,928,6620,1589
8,27788,4299,11380,12727,39326,2912,8551,7750,34229,121,3015,19278,8305,25662,21449,6263,250,23297,27592,26548,8565,2468,1683,658,6085,1953
9,21720,3271,9034,10808,34682,1738,7439,6124,29426,70,2518,15555,6538,21560,15884,4581,162,16909,25283,21401,7062,2190,1057,446,5466,1759
10,15896,2379,7598,9528,28873,1042,6242,4240,23294,32,1513,12911,4576,17268,11169,3044,71,11898,18412,16883,5511,1577,622,243,5397,1422
11,11057,1584,6095,8129,21824,597,5169,2833,17413,12,847,10376,3036,13865,7555,1811,29,8139,14262,11756,3650,1223,369,203,4991,912
12,7756,834,4271,6600,15487,301,4130,1641,11718,6,363,7763,1820,10136,5033,1160,22,4522,11463,7931,2450,867,165,108,4376,656
